doc_id,image_name,image_path,dealer_name,model_name,horse_power,asset_cost,sig_present,sig_bbox,stamp_present,stamp_bbox,notes,difficulty
172427893_3_pg11,172427893_3_pg11.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172427893_3_pg11.png,The Odisha Agro Industries Corporation Ltd.,SWARAJ 744 FE Tractor,48,801815,True,"[264, 1443, 480, 1510]",False,,"Image quality is good, text is clear.",
172448470_3_pg15,172448470_3_pg15.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172448470_3_pg15.png,THE ORISSA AGRO INDUSTRIES CORPORATION LTD.,Kubota MU 5502 4WD,,1106506,True,"[947, 1200, 1131, 1256]",False,,Horse power value not found in the document.,
172579986_2_pg31,172579986_2_pg31.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172579986_2_pg31.png,THE ORISSA AGRO INDUSTRIES CORPORATION LTD.,Swaraj 744 FET 4X4,48,933754,True,"[780, 1404, 951, 1468]",False,,Image is slightly rotated. Some handwritten text is faint.,
172589759_3_pg6,172589759_3_pg6.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172589759_3_pg6.png,शिव शक्ति एग्रो,स्वराज 742 XT,45,812000,True,"[925, 1234, 1043, 1292]",True,"[901, 1191, 1091, 1335]",Image is clear and in Hindi. The quoted model 'Swaraj 742 XT' is indicated by a checkmark and has an associated price. There is no explicit 'Grand Total' row.,
172611860_2_pg24,172611860_2_pg24.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172611860_2_pg24.png,MEENAKSHI TRACTORS,4215 E 2 WD 3CYLINDER (45 HP CATG.) 13.6X28,45,600000,True,"[758, 1210, 845, 1253]",True,"[737, 1126, 910, 1281]",Image is clear and in English.,
172655019_3_pg11,172655019_3_pg11.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172655019_3_pg11.png,शुभ विनायक ट्रैक्टर्स,3630 TX PLUS,55,950000,True,"[796, 1281, 996, 1324]",False,,"Image is in Hindi. Multiple tractor models are checked, but only one price is listed. Assumed '3630 TX PLUS' (55 HP) as the quoted model due to it being one of the checked items with a clear integer HP and highest HP among checked options.",
172658339_1_pg46,172658339_1_pg46.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172658339_1_pg46.png,M/s. HIREMATH TRACTORS,EICHER - 557 - an [50HP],50,950000,True,"[877, 1343, 1019, 1404]",False,,"Image quality is good, text is clear.",
172679320_3_pg18,172679320_3_pg18.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172679320_3_pg18.png,JAY BHAGWATI TRACTORS,STEELTRAC 18,18,373400,True,"[904, 1160, 1025, 1227]",False,,"Image quality is good, no rotation, language is English.",
172689968_1_pg14,172689968_1_pg14.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172689968_1_pg14.png,श्री देव कृषि इंप्लीमेंट्स,NEW HOLLAND MODEL:- 3230 TX,45,820000,True,"[943, 1332, 1092, 1406]",False,,Image is clear and readable. Contains both Hindi and English text.,
172744044_2_pg27,172744044_2_pg27.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172744044_2_pg27.png,THE ORISSA AGRO INDUSTRIES CORPORATION LTD.,744 FE 4X4 N1,48,923637,True,"[990, 1231, 1147, 1314]",False,,Image is slightly skewed and contains handwritten text.,
172811933_2_pg24,172811933_2_pg24.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172811933_2_pg24.png,AADHYAA MOTORS,DI 745 III (50HP),50,700000,True,"[907, 1171, 1052, 1238]",True,"[822, 1188, 943, 1339]",Image is clear. The quotation date is in the future (2025).,
172826770_1_pg14,172826770_1_pg14.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172826770_1_pg14.png,राजस्थान ट्रैक्टर मशीनरी,FT-60 Classic - 50 HP,50,750000,True,"[926, 929, 984, 970]",True,"[880, 876, 1053, 1023]",Image is clear and legible. Contains text in Hindi and English.,
172861131_pg6,172861131_pg6.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172861131_pg6.png,SAI WHEELS,John Deere 5042D,,,True,"[858, 828, 995, 870]",True,"[858, 701, 1007, 887]","Image is clear. Horsepower and total asset cost are not explicitly stated on the document. The 'Amount' mentioned is for finance, not the total asset cost.",
172946013_2_pg23,172946013_2_pg23.png,/Users/arshukla/Documents/Projects/invoice-ocr/notebooks/auto_labeler/label_data/172946013_2_pg23.png,The Odisha Agro Industries Corporation Ltd.,Mahindra yuvo Tech+ 575 DI 4WD model Tractor,47,925039,True,"[986, 1063, 1128, 1107]",False,,Image is clear. Signature is present but somewhat faint.,
